original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
7068,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2629,?,de qué equipo eres (.) del Madrid o del Barcelona ?%mor: prep|de=of pro:int|qué=what n|equipo&m=equipping cop|se-2S&PRES=be prep|de~det:art|el&m=of n:prop|Madrid coord|o=or prep|de~det:art|el&m=of n:prop|Barcelona ?,%mor:
7069,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2633,?,quién ganó ayer ?%mor: pro:int|quién=who v|gana-3S&PRET=win adv|ayer=yesterday ?,%mor:
7070,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2635,.,yo .%mor: pro:sub|yo=I .,%mor:
7071,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2637,?,quién ganó al fútbol del tu equipo ?%mor: pro:int|quién=who v|gana-3S&PRET=win aprep|a~det:art|el&m=to n|fútbol&m=soccer prep|de~det:art|el&m=of det:poss|tu=your n|equipo&m=equipping ?,%mor:
7072,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2641,.,yo .%mor: pro:sub|yo=I .,%mor:
7073,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2643,?,quién es este señor ?%mor: pro:int|quién=who cop|se-3S&PRES=be det:dem|este=this co:voc|señor=sir ?,%mor:
7074,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2646,.,Papá_Noël .%mor: n:prop|Papá_Noël .,%mor:
7075,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2648,?,qué te trajo Papá_Noël este año ?%mor: pro:int|qué=what pro:obj|te=you v|trae-3S&PRET=carry n:prop|Papá_Noël det:dem|este=this n|año&m=year ?,%mor:
7076,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2652,.,ézte [*] mira .%mor: ?|ézte co|mira=look .,%mor:
7077,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2655,.,un puzzle .%mor: det:art|un&m=one n|puzzle&m=puzzle .,%mor:
7078,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2657,?,y sabes hacer puzzles tú ?%mor: coord|y=and v|sabe-2S&PRES=know inf|hace-INF=do n|puzzle&m-PL=puzzle pro:sub|tú=you ?,%mor:
7079,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2660,.,no .%mor: adv|no=no .,%mor:
7080,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2662,?,no ?%mor: adv|no=no ?,%mor:
7081,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2664,?,y dónde [/] dónde vino Papá_Noël ?%mor: coord|y=and pro:int|dónde=where n|vino&m=wine n:prop|Papá_Noël ?,%mor:
7082,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2666,?,a dónde vino ?%mor: aprep|a=to pro:int|dónde=where n|vino&m=wine ?,%mor:
7083,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2668,.,eh (.) eh (.) no sé .%mor: co|eh co|eh adv|no=no v|sabe-1S&PRES=know .,%mor:
7084,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2670,?,en qué vino ?%mor: prep|en=in pro:int|qué=what n|vino&m=wine ?,%mor:
7085,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2672,.,tineo [*] .%mor: ?|tineo .,%mor:
7086,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2675,.,en el trineo .%mor: prep|en=in det:art|el&m&SG=the n|trineo&m=sled .,%mor:
7087,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2677,?,por dónde saltó (.) hijo ?%mor: prep|por=for pro:int|dónde=where v|salta-3S&PRET=jump n|hijo-m=child ?,%mor:
7088,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2680,?,por dónde saltó Papá_Noël ?%mor: prep|por=for pro:int|dónde=where v|salta-3S&PRET=jump n:prop|Papá_Noël ?,%mor:
7089,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2683,?,por dónde entró en la guardería ?%mor: prep|por=for pro:int|dónde=where v|entra-3S&PRET=come_in prep|en=in det:art|el&f&SG=the n|guardería&f=nursery ?,%mor:
7090,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2686,.,a [*] ventana .%mor: aprep|a=to n|ventana&f=window .,%mor:
7091,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2689,?,por la ventana (.) qué te dijo ?%mor: prep|por=for det:art|el&f&SG=the n|ventana&f=window pro:int|qué=what pro:obj|te=you v|deci-3S&PRET=say ?,%mor:
7092,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2692,.,a Jaime nada .%mor: aprep|a=to n:prop|Jaime v|nada-3S&PRES=swim .,%mor:
7093,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2694,?,no le dijo nada Jaime ?%mor: adv|no=no pro:ind|le=him v|deci-3S&PRET=say v|nada-3S&PRES=swim n:prop|Jaime ?,%mor:
7094,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2697,.,no .%mor: adv|no=no .,%mor:
7095,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2699,?,y a tí ?%mor: coord|y=and aprep|a=to ?|tí ?,%mor:
7096,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2701,.,sí (.) poque [*] me poté [*] bien .%mor: co|sí=yes ?|poque pro:obj|me=me ?|poté adv|bien=well .,%mor:
7097,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2704,?,ah (.) te portaste bien (.) y qué (.) te cogió en el cuello ?%mor: co|ah pro:obj|te=you v|porta-2S&PRET=behave adv|bien=well coord|y=and pro:int|qué=what pro:obj|te=you v|coge-3S&PRET=take prep|en=in det:art|el&m&SG=the n|cuello&m=neck ?,%mor:
7098,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2708,?,y le diste un besito ?%mor: coord|y=and pro:ind|le=him v|da-2S&PRET=give det:art|un&m=one n|beso&m-DIM=kiss ?,%mor:
7099,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2711,.,sí .%mor: co|sí=yes .,%mor:
7100,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2715,.,mira [/] mira que e [*] di un besito .%mor: co|mira=look conj|que=that coord|e=and imp|deci-2S&IMP=say det:art|un&m=one n|beso&m-DIM=kiss .,%mor:
7101,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2719,?,ah (.) y qué tenía aquí ?%mor: co|ah coord|y=and pro:int|qué=what v|tene-13S&PAS=have adv|aquí=here ?,%mor:
7102,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2722,.,barba .%mor: v|barba-3S&PRES=shave .,%mor:
7103,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2724,?,tenía barba (.) y te picaba la barba ?%mor: v|tene-13S&PAS=have n|barba&f=beard coord|y=and pro:obj|te=you v|pica-13S&PAS=prick/dive det:art|el&f&SG=the n|barba&f=beard ?,%mor:
7104,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2727,.,sí .%mor: co|sí=yes .,%mor:
7105,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2729,?,y qué le dijiste (.) que eras bueno ?%mor: coord|y=and pro:int|qué=what pro:ind|le=him v|deci-2S&PRET=say prep|que=than cop|se-2S&PAS=be co|bueno=good ?,%mor:
7106,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2732,?,y qué le pedías a los Reyes ?%mor: coord|y=and pro:int|qué=what pro:ind|le=him v|pedi-2S&PAS=request aprep|a=to det:art|el&m-PL=the n:prop|Reyes ?,%mor:
7107,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2735,.,a [*] moto .%mor: aprep|a=to n|moto&m=guide_post .,%mor:
7108,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2738,?,una moto (.) y te la trajeron ?%mor: det:art|un-f=one n|moto&m=guide_post coord|y=and pro:obj|te=you pro:obj|la&f=she v|trae-3P&PRET=carry ?,%mor:
7109,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2741,?,por qué ?%mor: prep|por=for pro:int|qué=what ?,%mor:
7110,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2743,.,y donde estaba tapao [/] tapao .%mor: coord|y=and pro:rel|donde=where cop|esta-13S&PAS=be ?|tapao .,%mor:
7111,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2745,?,el qué ?%mor: det:art|el&m&SG=the pro:int|qué=what ?,%mor:
7112,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2747,.,tapao .%mor: ?|tapao .,%mor:
7113,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2749,?,ah (.) estaba tapado [*] la moto no ?%mor: co|ah cop|esta-13S&PAS=be part|tapa-PRPART-m=cover det:art|el&f&SG=the n|moto&m=guide_post adv|no=no ?,%mor:
7114,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2753,.,y [/] y dejaron algo pa Borja .%mor: coord|y=and v|deja-3P&PRET=leave pro:dem|algo=something co|pa n:prop|Borja .,%mor:
7115,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2756,?,dejaron algo pa Borja aquí en tu casa ?%mor: v|deja-3P&PRET=leave pro:dem|algo=something co|pa n:prop|Borja adv|aquí=here prep|en=in det:poss|tu=your n|casa&f=house ?,%mor:
7116,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2759,.,sí .%mor: co|sí=yes .,%mor:
7117,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2761,.,porque se portó bien .%mor: conj|porque=because pro:refl|se=itself v|porta-3S&PRET=behave adv|bien=well .,%mor:
7118,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2764,.,<y a mí yo> [*] .%mor: coord|y=and aprep|a=to pro:prep|mí=me pro:sub|yo=I .,%mor:
7119,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2767,?,tú te portaste bien ?%mor: pro:sub|tú=you pro:obj|te=you v|porta-2S&PRET=behave adv|bien=well ?,%mor:
7120,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2770,?,xxx gabar [*] o qué ?%mor: ?|gabar coord|o=or pro:int|qué=what ?,%mor:
7121,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2773,?,y el cuento éste ?%mor: coord|y=and det:art|el&m&SG=the n|cuento&m=story pro:dem|éste=this_one ?,%mor:
7122,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2776,.,yo voy a merendar .%mor: pro:sub|yo=I v|i-1S&PRES=go aprep|a=to inf|merenda-INF=lunch .,%mor:
7123,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2779,?,a_ver qué me vas a enseñar (.) qué es esto ?%mor: co|a_ver=lets_see pro:int|qué=what pro:obj|me=me v|i-2S&PRES=go aprep|a=to inf|enseña-INF=teach pro:int|qué=what cop|se-3S&PRES=be pro:dem|esto=this_one ?,%mor:
7124,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2783,.,un [/] un cuento .%mor: det:art|un&m=one n|cuento&m=story .,%mor:
7125,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2785,?,un cuento ?%mor: det:art|un&m=one n|cuento&m=story ?,%mor:
7126,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2787,!,déjala !%mor: imp|deja-2S&IMP~pro:clit|OBJ&f=leave !,%mor:
7127,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2789,.,toma .%mor: imp|toma-2S&IMP=take .,%mor:
7128,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2793,.,a_ver .%mor: co|a_ver=lets_see .,%mor:
7129,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2795,.,dijo María y Xoxé .%mor: v|deci-3S&PRET=say n:prop|María coord|y=and n:prop|Xoxé .,%mor:
7130,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2801,.,Jejusito [*] .%mor: n:prop|Jejusito .,%mor:
7131,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2804,?,Jesusito (.) y estos quién son estos (.) que están aquí con alas ?%mor: n:prop|Jesusito coord|y=and det:dem|este-m-PL=this pro:int|quién=who cop|se-3P&PRES=be det:dem|este-m-PL=this pro:rel|que=that cop|esta-3P&PRES=be adv|aquí=here prep|con=with n|ala&f-PL=brim ?,%mor:
7132,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2809,.,angelito [*] .%mor: n|ángel&m-DIM=angel .,%mor:
7133,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2812,?,y qué hacen ahí los angelitos ?%mor: coord|y=and pro:int|qué=what v|hace-3P&PRES=do adv|ahí=there det:art|el&m-PL=the n|ángel&m-DIM-PL=angel ?,%mor:
7134,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2815,.,no sé .%mor: adv|no=no v|sabe-1S&PRES=know .,%mor:
7135,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2817,?,qué están (.) cuidando al niño ?%mor: pro:int|qué=what cop|esta-3P&PRES=be part|cuida-PROG=take_care aprep|a~det:art|el&m=to n|niño-m=child ?,%mor:
7136,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2820,!,no (.) venga ya (.) jo pu [*] me pone [*] a [*] mienda [*] (.) jodé [*] !%mor: adv|no=no co|venga=come_on adv|ya=already co|jo=whoa ?|pu pro:obj|me=me v|pone-3S&PRES=put aprep|a=to ?|mienda imp|jode-2S&IMP=screw !,%mor:
7137,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2828,.,el semáforo (.) a_ver Isra ven (.) ponte aquí .%mor: det:art|el&m&SG=the n|semáforo&m=traffic_light co|a_ver=lets_see n:prop|Isra co|ven=come imp|pone-2S&IMP~pro:clit|2S=put adv|aquí=here .,%mor:
7138,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2832,.,yo aquí .%mor: pro:sub|yo=I adv|aquí=here .,%mor:
7139,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2836,.,venga [=! susurra] .%mor: co|venga=come_on .,%mor:
7140,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2838,?,a_ver (.) qué estás haciendo ?%mor: co|a_ver=lets_see pro:int|qué=what aux|esta-2S&PRES=be part|hace-PROG=do ?,%mor:
7141,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2841,.,karate [=! susurro] .%mor: n|karate&m=karate .,%mor:
7142,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2843,?,qué ?%mor: pro:int|qué=what ?,%mor:
7143,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2845,.,karate .%mor: n|karate&m=karate .,%mor:
7144,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2847,?,y cómo se hace eso ?%mor: coord|y=and pro:int|cómo=how pro:refl|se=itself v|hace-3S&PRES=do pro:dem|eso=that_one ?,%mor:
7145,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2851,!,ua !%mor: co|ua=wah !,%mor:
7146,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2855,.,www .,%mor:
7147,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2857,?,te ayudo yo (.) venga (.) vale ?%mor: pro:obj|te=you v|ayuda-1S&PRES=help pro:sub|yo=I co|venga=come_on co|vale=okay ?,%mor:
7148,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2860,?,cantamos algo [=? ahora] los dos ?%mor: v|canta-1P&PRES&PRET=sing pro:dem|algo=something det:art|el&m-PL=the det:num|dos=two ?,%mor:
7149,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2863,.,ya etá [*] (.) venga .%mor: adv|ya=already ?|etá co|venga=come_on .,%mor:
7150,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2866,.,a_ver (.) una canción pa marchar (.) venga .%mor: co|a_ver=lets_see det:art|un-f=one n|canción&f=song co|pa inf|marcha-INF=leave co|venga=come_on .,%mor:
7151,11dtz36m.cha,spa,DiezItza,MOT,.,female,.,.,Mother,.,.,2869,.,a_ver (.) yo [/] yo te ayudo ven mira (.) ven te ayuda mamá .%mor: co|a_ver=lets_see pro:sub|yo=I pro:obj|te=you v|ayuda-1S&PRES=help co|ven=come co|mira=look co|ven=come pro:obj|te=you v|ayuda-3S&PRES=help n|mamá&f=mommy .,%mor:
7152,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2873,.,no .%mor: adv|no=no .,%mor:
7153,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2877,.,patitos .%mor: n|pati&m-DIM-PL=patty^n|pato&m-DIM-PL=duck .,%mor:
7154,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2881,.,<se fueron a nadar (.) el más chiquitito &a el pobe [*] patito e [*] puso a llorá [*]> [=! canta] .%mor: pro:refl|se=itself cop|se-3P&PRET=be aprep|a=to inf|nada-INF=swim det:art|el&m&SG=the adv|más=more adj|chico-DIM-DIM=small det:art|el&m&SG=the ?|pobe n|pati&m-DIM=patty^n|pato&m-DIM=duck coord|e=and v|pone-3S&PRET=put aprep|a=to imp|llora-2S&IMP=cry .,%mor:
7155,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2889,?,ya ?%mor: adv|ya=already ?,%mor:
7156,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2891,.,sí .%mor: co|sí=yes .,%mor:
7157,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2893,?,vamos a merendar ?%mor: v|i-1P&PRES=go aprep|a=to inf|merenda-INF=lunch ?,%mor:
7158,11dtz36m.cha,spa,DiezItza,CHI,3;06.13,.,.,.,Target_Child,.,.,2895,.,sí .%mor: co|sí=yes .,%mor:
7159,11dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,2897,.,bueno .%mor: co|bueno=good .,%mor:
7160,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,11,!,una niña (.) que se llamaba (.) Caperucita_Roja !%mor: det:art|un-f=one co:voc|niña=child pro:rel|que=that pro:refl|se=itself v|llama-13S&PAS=call n:prop|Caperucita_Roja !,%mor:
7161,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,14,.,y un día (.) la madre era el cumpleaños de [/] de [/] (.) de [/] (.) de Caperucita y le regalo un &cap [//] un [/] un [//] una [/] una gorra y [/] y [/] (.) y un abrigo .%mor: coord|y=and det:art|un&m=one n|día&m=day det:art|el&f&SG=the n|madre&f=mother cop|se-13S&PAS=be det:art|el&m&SG=the n|cumpleaño&m-PL=birthday prep|de=of n:prop|Caperucita coord|y=and pro:ind|le=him v|regala-1S&PRES=give_present det:art|un&m=one det:art|un-f=one n|gorra&f=bonnet coord|y=and det:art|un&m=one n|abrigo&m=overcoat .,%mor:
7162,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,23,?,de qué color ?%mor: prep|de=of pro:int|qué=what n|color&m=hue ?,%mor:
7163,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,25,.,rojo [//] y rojo .%mor: coord|y=and adj|rojo-m=red .,%mor:
7164,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,27,?,y qué más pasó ?%mor: coord|y=and pro:int|qué=what adv|más=more v|pasa-3S&PRET=pass ?,%mor:
7165,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,29,!,a_ver !%mor: co|a_ver=lets_see !,%mor:
7166,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,31,.,después le [/] (.) le dijo eh (.) &cog coge la cestita y yo te voy preparando eh (..) cosas .%mor: adv|después=after pro:ind|le=him v|deci-3S&PRET=say co|eh v|coge-3S&PRES=take det:art|el&f&SG=the n|cesta&f-DIM=basket coord|y=and pro:sub|yo=I pro:obj|te=you v|i-1S&PRES=go part|prepara-PROG=prepare co|eh n|cosa&f-PL=thing .,%mor:
7167,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,37,?,para qué ?%mor: prep|para=for pro:int|qué=what ?,%mor:
7168,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,39,.,para comer .%mor: prep|para=for inf|come-INF=eat .,%mor:
7169,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,41,!,y qué le preparó (.) a_ver !%mor: coord|y=and pro:int|qué=what pro:ind|le=him v|prepara-3S&PRET=prepare co|a_ver=lets_see !,%mor:
7170,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,44,?,y qué comida le preparó ?%mor: coord|y=and pro:int|qué=what n|comida&f=food pro:ind|le=him v|prepara-3S&PRET=prepare ?,%mor:
7171,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,47,.,miel (.) le preparó un &d un desayuno .%mor: n|miel&m=honey pro:ind|le=him v|prepara-3S&PRET=prepare det:art|un&m=one det:art|un&m=one n|desayuno&m=breakfast .,%mor:
7172,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,50,.,y después se fue (.) corriendo y despué [*] eh (.) eh (.) en &d en este cuento no había lobo .%mor: coord|y=and adv|después=after pro:refl|se=itself v|i-3S&PRET=go part|corre-PROG=run coord|y=and ?|despué co|eh co|eh prep|en=in prep|en=in det:dem|este=this n|cuento&m=story adv|no=no v|habe-13S&PAS=have n|lobo-m=wolf .,%mor:
7173,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,57,?,no había lobo ?%mor: adv|no=no v|habe-13S&PAS=have n|lobo-m=wolf ?,%mor:
7174,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,59,?,cómo que no había lobo ?%mor: pro:int|cómo=how pro:rel|que=that adv|no=no v|habe-13S&PAS=have n|lobo-m=wolf ?,%mor:
7175,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,62,!,tiene que haber lobo !%mor: v|tene-3S&PRES=have prep|que=than inf|habe-INF=have n|lobo-m=wolf !,%mor:
7176,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,64,.,no .%mor: adv|no=no .,%mor:
7177,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,66,.,bueno a_ver .%mor: co|bueno=good co|a_ver=lets_see .,%mor:
7178,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,68,?,y entonces qué pasó ?%mor: coord|y=and adv|entonces=then pro:int|qué=what v|pasa-3S&PRET=pass ?,%mor:
7179,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,73,?,por dónde ?%mor: prep|por=for pro:int|dónde=where ?,%mor:
7180,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,75,?,por el bosque ?%mor: prep|por=for det:art|el&m&SG=the n|bosque&m=forest ?,%mor:
7181,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,77,.,y &d y no se contró [*] al lobo .%mor: coord|y=and coord|y=and adv|no=no pro:refl|se=itself ?|contró aprep|a~det:art|el&m=to n|lobo-m=wolf .,%mor:
7182,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,86,!,qué más pasó luego (.) a_ver !%mor: pro:int|qué=what adv|más=more v|pasa-3S&PRET=pass adv|luego=afterwards co|a_ver=lets_see !,%mor:
7183,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,89,?,dónde llegó ?%mor: pro:int|dónde=where v|llega-3S&PRET=arrive ?,%mor:
7184,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,91,.,a casa .%mor: aprep|a=to n|casa&f=house .,%mor:
7185,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,97,?,a casa de quién ?%mor: aprep|a=to n|casa&f=house prep|de=of pro:int|quién=who ?,%mor:
7186,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,99,.,a &d a casa de la abuela .%mor: aprep|a=to aprep|a=to n|casa&f=house prep|de=of det:art|el&f&SG=the n|abuelo-f=grandparent .,%mor:
7187,12dtz36m.cha,spa,DiezItza,CHI,3;07.02,.,.,.,Target_Child,.,.,102,.,y despué [*] le dio la &d la [//] el desayuno .%mor: coord|y=and ?|despué pro:ind|le=him v|da-3S&PRET=give det:art|el&f&SG=the det:art|el&m&SG=the n|desayuno&m=breakfast .,%mor:
7188,12dtz36m.cha,spa,DiezItza,SIS,.,.,.,.,Sister,.,.,106,?,no me parece que sea así (.) eh ?%mor: adv|no=no pro:obj|me=me v|parece-3S&PRES=seem prep|que=than cop|se-13S&SUB&PRES=be adv|así=thus co|eh ?,%mor:
7189,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,109,?,a_ver (.) pero qué le dijo ?%mor: co|a_ver=lets_see conj|pero=but pro:int|qué=what pro:ind|le=him v|deci-3S&PRET=say ?,%mor:
7190,12dtz36m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,112,?,no le dijo lo de (.) abuelita (.) abuelita (.) qué orejas tan grandes tienes ?%mor: adv|no=no pro:ind|le=him v|deci-3S&PRET=say pro:obj|lo&m=him prep|de=of n|abuelo&f-DIM=grandparent n|abuelo&f-DIM=grandparent pro:int|qué=what n|oreja&f-PL=ear adv|tan=such adj|grande-PL=big v|tene-2S&PRES=have ?,%mor:
