original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
6271,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,25,.,"+"" ya sé .%mor: adv|ya=already v|sabe-1S&PRES=know .",%mor:,0,,,0,0,0,,,,,
6272,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,25,v|sabe-1s&pres=know,"+"" ya sé .%mor: adv|ya=already v|sabe-1S&PRES=know .",%svd:,saber,0,1,1,s,pres,,,,,
6273,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,27,v|deci-3s&pret=say,"dijo +""/.%mor: v|deci-3S&PRET=say +""/.",%mor:,0,,,0,0,0,,,,,
6274,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,27,v|deci-3s&pret=say,"dijo +""/.%mor: v|deci-3S&PRET=say +""/.",%svd:,decir,0,1,3,s,pret,,,,,
6275,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,29,.,"+"" no .%mor: adv|no=no .",%mor:,0,,,0,0,0,,,,,
6276,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,31,v|deci-1s&pres=say,"ahí digo +"".%mor: adv|ahí=there v|deci-1S&PRES=say +"".",%mor:,0,,,0,0,0,,,,,
6277,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,31,v|deci-1s&pres=say,"ahí digo +"".%mor: adv|ahí=there v|deci-1S&PRES=say +"".",%svd:,decir,0,1,1,s,pres,,,,,
6278,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,33,.,"+"" no .%mor: adv|no=no .",%mor:,0,,,0,0,0,,,,,
6279,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,35,.,deuna [: de una vez] .%mor: prep|de=of det:art|un-f=one n|vez&f=turn .,%mor:,0,,,0,0,0,,,,,
6280,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,37,.,"a_ver, mirá, mirá lo que pasó .%mor: co|a_ver=lets_see cm|cm co|mirá cm|cm co|mirá pro:obj|lo&m=him pro:rel|que=that v|pasa-3S&PRET=pass .",%mor:,0,,,0,0,0,,,,,
6281,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,37,v|pasa-3s&pret=pass,"a_ver, mirá, mirá lo que pasó .%mor: co|a_ver=lets_see cm|cm co|mirá cm|cm co|mirá pro:obj|lo&m=him pro:rel|que=that v|pasa-3S&PRET=pass .",%svd:,pasar,na,na,na,na,na,na,na,na,lo que,
6282,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,40,v|pasa-3s&pret=pass,mirá lo que pasó al +...%mor: co|mirá pro:obj|lo&m=him pro:rel|que=that v|pasa-3S&PRET=pass aprep|a~det:art|el&m=to +...,%mor:,0,,,0,0,0,,,,,
6283,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,40,v|pasa-3s&pret=pass,mirá lo que pasó al +...%mor: co|mirá pro:obj|lo&m=him pro:rel|que=that v|pasa-3S&PRET=pass aprep|a~det:art|el&m=to +...,%svd:,pasar,na,na,na,na,na,na,na,na,lo que,
6284,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,43,?,o qué hago ?%mor: coord|o=or pro:int|qué=what v|hace-1S&PRES=do ?,%mor:,0,,,0,0,0,,,,,
6285,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,43,v|hace-1s&pres=do,o qué hago ?%mor: coord|o=or pro:int|qué=what v|hace-1S&PRES=do ?,%svd:,hacer,0,1,1,s,pres,,,,,
6286,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,45,.,pasá la hoja vo(s) .%mor: imp|pasa-2S&IMP=pass det:art|el&f&SG=the n|hoja&f=leaf pro:obj|vos=you .,%mor:,0,,,0,0,0,,,,,
6287,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,48,.,vos que sabés hacer .%mor: pro:obj|vos=you pro:rel|que=that v|sabe-2S&PRES=know inf|hace-INF=do .,%mor:,0,,,0,0,0,,,,,
6288,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,48,v|sabe-2s&pres=know,vos que sabés hacer .%mor: pro:obj|vos=you pro:rel|que=that v|sabe-2S&PRES=know inf|hace-INF=do .,%svd:,saber,1,1,2,s,pres,,switch,,,
6289,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,51,!,dale !%mor: imp|da-2S&IMP~pro:clit|3S=give !,%mor:,0,,,0,0,0,,,,,
6290,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,53,!,&ey !,%mor:,0,,,0,0,0,,,,,
6291,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,54,.,yo quiero juga(r) .%mor: pro:sub|yo=I v|quere-1S&PRES=want inf|juga-INF=play .,%mor:,0,,,0,0,0,,,,,
6292,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,54,v|quere-1s&pres=want,yo quiero juga(r) .%mor: pro:sub|yo=I v|quere-1S&PRES=want inf|juga-INF=play .,%svd:,querer,1,1,1,s,pres,,,,,
6293,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,56,v|quere-2s&pres=want,"bueno, bueno, si quieres jugar +...%mor: co|bueno=good cm|cm co|bueno=good cm|cm conj|si=if v|quere-2S&PRES=want inf|juga-INF=play +...",%mor:,0,,,0,0,0,,,,,
6294,ODOG-LG-2018-03-27-cuentopadnin-SDS-02-I-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,56,v|quere-2s&pres=want,"bueno, bueno, si quieres jugar +...%mor: co|bueno=good cm|cm co|bueno=good cm|cm conj|si=if v|quere-2S&PRES=want inf|juga-INF=play +...",%svd:,querer,0,1,2,s,pres,,,,,
6295,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,17,?,viste ?%mor: v|ve-2S&PRET=see ?,%mor:,0,,,0,0,0,,,,,
6296,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,17,v|ve-2s&pret=see,viste ?%mor: v|ve-2S&PRET=see ?,%svd:,ver,na,na,na,na,na,na,na,na,exclude,
6297,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,19,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
6298,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,21,?,sí ?%mor: co|sí=yes ?,%mor:,0,,,0,0,0,,,,,
6299,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,23,.,"bueno, ahí está .%mor: co|bueno=good cm|cm adv|ahí=there cop|esta-3S&PRES=be .",%mor:,0,,,0,0,0,,,,,
6300,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,23,cop|esta-3s&pres=be,"bueno, ahí está .%mor: co|bueno=good cm|cm adv|ahí=there cop|esta-3S&PRES=be .",%svd:,estar,0,1,3,s,pres,,,,,
6301,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,25,.,"a_ver, ponelo en frente mío .%mor: co|a_ver=lets_see cm|cm imp|pone-2S&IMP~pro:clit|OBJ&m=put prep|en=in adv|frente=facing pro:poss|mío-m=mine .",%mor:,0,,,0,0,0,,,,,
6302,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,28,.,"sí, ahora vamos a poner todo en frente mío .%mor: co|sí=yes cm|cm adv|ahora=now v|i-1P&PRES=go aprep|a=to inf|pone-INF=put det:indef|todo-m=all prep|en=in adv|frente=facing pro:poss|mío-m=mine .",%mor:,0,,,0,0,0,,,,,
6303,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,28,v|i-1p&pres=go,"sí, ahora vamos a poner todo en frente mío .%mor: co|sí=yes cm|cm adv|ahora=now v|i-1P&PRES=go aprep|a=to inf|pone-INF=put det:indef|todo-m=all prep|en=in adv|frente=facing pro:poss|mío-m=mine .",%svd:,ir,0,1,1,p,pres,,,,,
6304,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,32,.,ju(gu)ete .%mor: n|juguete&m=toy .,%mor:,0,,,0,0,0,,,,,
6305,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,34,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
6306,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,36,.,"sí, abrí todo lo que vos quieras .%mor: co|sí=yes cm|cm imp|abri-2S&IMP=open det:indef|todo-m=all pro:obj|lo&m=him pro:rel|que=that pro:obj|vos=you v|quere-2S&SUB&PRES=want .",%mor:,0,,,0,0,0,,,,,
6307,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,36,v|quere-2s&sub&pres=want,"sí, abrí todo lo que vos quieras .%mor: co|sí=yes cm|cm imp|abri-2S&IMP=open det:indef|todo-m=all pro:obj|lo&m=him pro:rel|que=that pro:obj|vos=you v|quere-2S&SUB&PRES=want .",%svd:,querer,1,1,2,s,sub&pres,,,,,
6308,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,40,.,ahí yo te doy más juguetes .%mor: adv|ahí=there pro:sub|yo=I pro:obj|te=you v|da-1S&PRES=give adv|más=more n|juguete&m-PL=toy .,%mor:,0,,,0,0,0,,,,,
6309,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,40,v|da-1s&pres=give,ahí yo te doy más juguetes .%mor: adv|ahí=there pro:sub|yo=I pro:obj|te=you v|da-1S&PRES=give adv|más=more n|juguete&m-PL=toy .,%svd:,dar,1,1,1,s,pres,,same,,,
6310,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,43,!,&uauuu !,%mor:,0,,,0,0,0,,,,,
6311,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,44,.,"el ot(r)o juguete te voa [: voy] t(r)ae(r), sí .%mor: det:art|el&m&SG=the pro:indef|otro-m=other n|juguete&m=toy pro:obj|te=you v|i-1S&PRES=go inf|trae-INF=carry cm|cm co|sí=yes .",%mor:,0,,,0,0,0,,,,,
6312,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,44,v|i-1s&pres=go,"el ot(r)o juguete te voa [: voy] t(r)ae(r), sí .%mor: det:art|el&m&SG=the pro:indef|otro-m=other n|juguete&m=toy pro:obj|te=you v|i-1S&PRES=go inf|trae-INF=carry cm|cm co|sí=yes .",%svd:,ir,0,1,1,s,pres,,,,,
6313,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,47,.,+< mirá .%mor: co|mirá .,%mor:,0,,,0,0,0,,,,,
6314,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,49,.,acá hay ot(r)o juguete .%mor: adv|acá=there v|habe-3S&PRES&SPEC=have pro:indef|otro-m=other n|juguete&m=toy .,%mor:,0,,,0,0,0,,,,,
6315,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,49,v|habe-3s&pres&spec=have,acá hay ot(r)o juguete .%mor: adv|acá=there v|habe-3S&PRES&SPEC=have pro:indef|otro-m=other n|juguete&m=toy .,%svd:,haber,na,na,na,na,na,na,na,na,exclude,
6316,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,52,.,mirá este .%mor: co|mirá det:dem|este=this .,%mor:,0,,,0,0,0,,,,,
6317,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,54,?,qué es ?%mor: pro:int|qué=what cop|se-3S&PRES=be ?,%mor:,0,,,0,0,0,,,,,
6318,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,54,cop|se-3s&pres=be,qué es ?%mor: pro:int|qué=what cop|se-3S&PRES=be ?,%svd:,ser,0,1,3,s,pres,,,,,
6319,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,56,.,&ummm .,%mor:,0,,,0,0,0,,,,,
6320,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,56,.,&ummm .%com: Lilian mastica algo .,%com:,0,,,0,0,0,,,,,
6321,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,58,.,para armar .%mor: prep|para=for inf|arma-INF=arm .,%mor:,0,,,0,0,0,,,,,
6322,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,60,.,hay opa@wp ese .%mor: v|habe-3S&PRES&SPEC=have wplay|opa det:dem|ese=that .,%mor:,0,,,0,0,0,,,,,
6323,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,60,v|habe-3s&pres&spec=have,hay opa@wp ese .%mor: v|habe-3S&PRES&SPEC=have wplay|opa det:dem|ese=that .,%svd:,haber,na,na,na,na,na,na,na,na,exclude,
6324,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,62,?,hoy va (es)ta(r) má(s) juguete ?%mor: adv|hoy=today v|i-3S&PRES=go inf|esta-INF=be adv|más=more n|juguete&m=toy ?,%mor:,0,,,0,0,0,,,,,
6325,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,62,v|i-3s&pres=go,hoy va (es)ta(r) má(s) juguete ?%mor: adv|hoy=today v|i-3S&PRES=go inf|esta-INF=be adv|más=more n|juguete&m=toy ?,%svd:,ir,0,0,3,s,pres,,,,morphological error,
6326,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,65,?,"mami, me así uita@wp chita@wp ?%mor: n|mami&f=mommy cm|cm pro:obj|me=me adv|así=thus wplay|uita wplay|chita ?",%mor:,0,,,0,0,0,,,,,
6327,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,68,?,"mami, uesu@wp ichachita@wp ?%mor: n|mami&f=mommy cm|cm wplay|uesu wplay|ichachita ?",%mor:,0,,,0,0,0,,,,,
6328,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,70,?,&uh ?,%mor:,0,,,0,0,0,,,,,
6329,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,71,.,"mami, hacé (es)calera .%mor: n|mami&f=mommy cm|cm imp|hace-2S&IMP=do n|escalera&f=staircase .",%mor:,0,,,0,0,0,,,,,
6330,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,73,?,querés hacer escalera ?%mor: v|quere-2S&PRES=want inf|hace-INF=do n|escalera&f=staircase ?,%mor:,0,,,0,0,0,,,,,
6331,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,73,v|quere-2s&pres=want,querés hacer escalera ?%mor: v|quere-2S&PRES=want inf|hace-INF=do n|escalera&f=staircase ?,%svd:,querer,0,1,2,s,pres,,,,,
6332,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,75,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
6333,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,77,.,"&vo, ahí, ahí, ahí .%mor: cm|cm adv|ahí=there cm|cm adv|ahí=there cm|cm adv|ahí=there .",%mor:,0,,,0,0,0,,,,,
6334,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,79,?,ahí ?%mor: adv|ahí=there ?,%mor:,0,,,0,0,0,,,,,
6335,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,83,.,+< &yep .,%mor:,0,,,0,0,0,,,,,
6336,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,84,.,ma(mi) .%mor: n|mami&f=mommy .,%mor:,0,,,0,0,0,,,,,
6337,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,88,.,ma(mi) .%mor: n|mami&f=mommy .,%mor:,0,,,0,0,0,,,,,
6338,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,90,?,viste cómo se hace ?%mor: v|vesti-3S&PRES=dress pro:int|cómo=how pro:refl|se=itself v|hace-3S&PRES=do ?,%mor:,0,,,0,0,0,,,,,
6339,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,90,v|vesti-3s&pres=dress,viste cómo se hace ?%mor: v|vesti-3S&PRES=dress pro:int|cómo=how pro:refl|se=itself v|hace-3S&PRES=do ?,%svd:,ver,0,1,2,s,pres,,,,,
6340,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,90,v|hace-3s&pres=do,viste cómo se hace ?%mor: v|vesti-3S&PRES=dress pro:int|cómo=how pro:refl|se=itself v|hace-3S&PRES=do ?,%svd:,hacer,na,na,na,na,na,na,na,na,impersonal,
6341,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,93,?,viste ?%mor: v|ve-2S&PRET=see ?,%mor:,0,,,0,0,0,,,,,
6342,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,93,v|ve-2s&pret=see,viste ?%mor: v|ve-2S&PRET=see ?,%svd:,ver,na,na,na,na,na,na,na,na,exclude,
6343,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,95,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
6344,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,97,.,&unjú .,%mor:,0,,,0,0,0,,,,,
6345,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,98,?,y e(s)te ?%mor: coord|y=and det:dem|este=this ?,%mor:,0,,,0,0,0,,,,,
6346,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,100,.,"no, tiene(n) que ser dos .%mor: co|no=no cm|cm v|tene-3P&PRES=have prep|que=than n|ser&m=being det:num|dos=two .",%mor:,0,,,0,0,0,,,,,
6347,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,100,v|tene-3p&pres=have,"no, tiene(n) que ser dos .%mor: co|no=no cm|cm v|tene-3P&PRES=have prep|que=than n|ser&m=being det:num|dos=two .",%svd:,tener,DP-indef,0,3,p,pres,,,,,
6348,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,103,?,&uh ?,%mor:,0,,,0,0,0,,,,,
6349,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,104,.,tiene que ser este .%mor: v|tene-3S&PRES=have prep|que=than n|ser&m=being det:dem|este=this .,%mor:,0,,,0,0,0,,,,,
6350,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,104,v|tene-3s&pres=have,tiene que ser este .%mor: v|tene-3S&PRES=have prep|que=than n|ser&m=being det:dem|este=this .,%svd:,tener,DP-dem,0,3,s,pres,,,,,
6351,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,106,?,"&ahh, dónde se fue ?%mor: cm|cm pro:int|dónde=where pro:refl|se=itself v|i-3S&PRET=go ?",%mor:,0,,,0,0,0,,,,,
6352,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,106,v|i-3s&pret=go,"&ahh, dónde se fue ?%mor: cm|cm pro:int|dónde=where pro:refl|se=itself v|i-3S&PRET=go ?",%svd:,ir,0,1,3,s,pret,,,,,
6353,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,108,.,mirá .%mor: co|mirá .,%mor:,0,,,0,0,0,,,,,
6354,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,111,?,ese (es)calera ?%mor: det:dem|ese=that n|escalera&f=staircase ?,%mor:,0,,,0,0,0,,,,,
6355,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,113,?,y e(s)te ?%mor: coord|y=and det:dem|este=this ?,%mor:,0,,,0,0,0,,,,,
6356,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,115,?,"mami, mami, y e(s)te ?%mor: n|mami&f=mommy cm|cm n|mami&f=mommy cm|cm coord|y=and det:dem|este=this ?",%mor:,0,,,0,0,0,,,,,
6357,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,118,.,ese .%mor: det:dem|ese=that .,%mor:,0,,,0,0,0,,,,,
6358,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,120,.,mami .%mor: n|mami&f=mommy .,%mor:,0,,,0,0,0,,,,,
6359,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,122,.,acá .%mor: adv|acá=there .,%mor:,0,,,0,0,0,,,,,
6360,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;8.,male,.,.,Target_Child,.,.,124,?,&uh ?,%mor:,0,,,0,0,0,,,,,
6361,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,125,.,vamos a poner este acá .%mor: v|i-1P&PRES=go aprep|a=to inf|pone-INF=put det:dem|este=this adv|acá=there .,%mor:,0,,,0,0,0,,,,,
6362,ODOG-LG-2018-03-27-esp-SDS-01-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,.,.,.,Mother,.,.,125,v|i-1p&pres=go,vamos a poner este acá .%mor: v|i-1P&PRES=go aprep|a=to inf|pone-INF=put det:dem|este=this adv|acá=there .,%svd:,ir,0,1,1,p,pres,,,,,
